zipcode,mediansalary,Pop
1001,56663,"16,445"
1002,49853,"28,069"
1003,28462,"8,491"
1005,75423,"4,798"
1007,79076,"12,962"
1008,63980,"1,244"
1009,51452,889
1010,75625,"3,340"
1011,63476,"1,323"
1012,58750,677
1013,36578,"22,907"
1020,50058,"29,626"
1022,50440,"2,124"
1026,60320,"1,052"
1027,58573,"17,452"
1028,80252,"14,143"
1029,62955,663
1030,71106,"11,702"
1031,61250,"1,192"
1032,67692,498
1034,63980,"1,910"
1035,69911,"4,801"
1036,78869,"5,089"
1037,61250,627
1038,53939,"2,557"
1039,66284,"1,291"
1040,35549,"39,827"
1050,62097,"2,380"
1053,60477,"1,720"
1054,67831,"1,656"
1056,63318,"21,205"
1057,73254,"8,474"
1060,48069,"15,578"
1062,60686,"11,283"
1063,40694,393
1066,53939,71
1068,77396,"1,651"
1069,50345,"8,789"
1070,60320,573
1071,63980,"1,518"
1072,67831,"1,503"
1073,80738,"5,366"
1074,75423,315
1075,63053,"17,179"
1077,73645,"8,842"
1079,51452,625
1080,50100,"2,208"
1081,65917,"1,581"
1082,51936,"10,125"
1083,55030,"2,887"
1084,58750,158
1085,57598,"40,392"
1086,93611,323
1088,53939,622
1089,53711,"27,894"
1092,55030,"1,215"
1093,59722,340
1094,61250,340
1095,89486,"13,572"
1096,66148,"2,143"
1097,63980,113
1098,60320,"1,212"
1103,16963,"2,731"
1104,35380,"22,078"
1105,17756,"12,816"
1106,91889,"15,880"
1107,23557,"11,615"
1108,37411,"26,060"
1109,34638,"30,683"
1118,55853,"14,283"
1119,45184,"13,170"
1128,63177,"3,040"
1129,58704,"6,982"
1151,34175,"8,302"
1199,48306,14
1201,46765,"43,838"
1220,38379,"8,947"
1222,47145,821
1223,48478,"2,287"
1224,66458,197
1225,57419,"3,264"
1226,57505,"7,099"
1229,55096,129
1230,53584,"8,654"
1235,63877,"2,597"
1236,55718,"1,656"
1237,69659,"2,426"
1238,51053,"6,110"
1240,60458,"4,787"
1242,60604,254
1243,60320,360
1244,57917,136
1245,63152,989
1247,38405,"16,957"
1253,62955,607
1254,79145,"1,070"
1255,62955,824
1256,54167,701
1257,47145,"2,223"
1258,55764,401
1259,57917,640
1260,53297,225
1262,55096,"1,357"
1264,63250,160
1266,64328,"1,681"
1267,69925,"8,683"
1270,70662,761
1301,47833,"18,444"
1330,70326,"1,512"
1331,49110,"12,856"
1337,57550,"2,649"
1338,56596,184
1339,6531,181
1341,70326,"1,743"
1342,61912,"1,140"
1343,54167,73
1344,54836,"1,216"
1347,50189,214
1349,51401,"1,116"
1351,50189,"2,301"
1354,57550,"1,367"
1355,67831,820
1360,70606,"2,952"
1364,44676,"7,633"
1366,68374,"1,186"
1368,61950,"1,256"
1370,53003,"4,020"
1373,61438,"4,618"
1375,59722,"3,769"
1376,36099,"5,149"
1378,54836,742
1379,54836,949
1420,48606,"39,333"
1430,79875,"5,551"
1431,80143,"2,833"
1432,55863,"7,008"
1434,119016,"1,017"
1436,66138,"3,097"
1438,66138,413
1440,51232,"20,904"
1450,123278,"9,547"
1451,141274,"4,922"
1452,82443,"3,901"
1453,57280,"41,066"
1460,103751,"8,147"
1462,84911,"9,475"
1463,85403,"11,120"
1464,72598,"6,374"
1467,141274,328
1468,66138,"3,134"
1469,78502,"6,892"
1473,79073,"6,906"
1474,78207,"2,302"
1475,56274,"9,597"
1501,70683,"15,923"
1503,92917,"2,517"
1504,74067,"8,824"
1505,88214,"4,083"
1506,60189,"3,056"
1507,86561,"11,274"
1510,57957,"13,261"
1515,71964,"2,095"
1516,86214,"7,089"
1518,72983,"2,303"
1519,105605,"6,128"
1520,92166,"12,543"
1521,65917,"2,408"
1522,82165,"3,083"
1523,80938,"7,102"
1524,74316,"6,356"
1525,89583,88
1527,68319,"12,850"
1529,77250,"2,715"
1531,61250,942
1532,103271,"14,028"
1534,76675,"4,527"
1535,57196,"4,703"
1536,89347,"5,977"
1537,68664,"2,219"
1540,62079,"10,958"
1541,102853,"3,341"
1542,67172,"2,025"
1543,81295,"6,332"
1545,88643,"31,637"
1550,48195,"17,217"
1560,68854,"2,754"
1561,80938,236
1562,65184,"11,681"
1564,102115,"7,267"
1566,72387,"5,531"
1568,107950,"5,650"
1569,80536,"11,080"
1570,50142,"16,396"
1571,64228,"10,023"
1581,101876,"17,899"
1583,79865,"6,665"
1585,60376,"4,472"
1588,67286,"8,644"
1590,104730,"8,247"
1602,61861,"21,596"
1603,37454,"14,613"
1604,47438,"33,032"
1605,41023,"24,799"
1606,57646,"19,516"
1607,47987,"8,415"
1608,26526,"3,634"
1609,44501,"20,425"
1610,21388,"15,545"
1611,63333,"2,206"
1612,100358,"4,363"
1701,92018,"31,114"
1702,53081,"35,990"
1718,84559,374
1719,102222,"4,870"
1720,110534,"19,798"
1721,91904,"14,602"
1730,107033,"12,547"
1731,77369,"2,914"
1740,125741,"4,125"
1741,155000,"4,798"
1742,119902,"17,075"
1745,114761,331
1746,101901,"13,866"
1747,97227,"5,815"
1748,121182,"13,318"
1749,76500,"18,081"
1752,71835,"36,273"
1754,76228,"10,414"
1756,102625,"5,257"
1757,68565,"26,877"
1760,90673,"31,763"
1770,145250,"4,245"
1772,141459,"8,435"
1773,143771,"5,143"
1775,117440,"5,902"
1776,152789,"16,826"
1778,140652,"13,191"
1801,71805,"37,213"
1803,90659,"22,954"
1810,113874,"31,228"
1821,87745,"29,306"
1824,99032,"25,234"
1826,71731,"28,728"
1827,113594,"2,847"
1830,63388,"24,320"
1832,57959,"21,246"
1833,97895,"7,356"
1834,84232,"6,027"
1835,76253,"13,426"
1840,18507,"4,350"
1841,34128,"44,474"
1843,42587,"23,184"
1844,66023,"43,770"
1845,99505,"27,203"
1850,54087,"15,688"
1851,51795,"29,549"
1852,55089,"32,848"
1854,44616,"26,785"
1860,75517,"6,145"
1862,86304,"10,097"
1863,77458,"8,558"
1864,97574,"13,849"
1867,103358,"23,657"
1876,83976,"28,599"
1879,92239,"11,092"
1880,89830,"24,610"
1886,123906,"20,811"
1887,97107,"21,279"
1890,128546,"20,806"
1901,18257,"1,630"
1902,38107,"45,617"
1904,69263,"17,916"
1905,42449,"23,905"
1906,69051,"26,160"
1907,90516,"14,463"
1913,73843,"16,447"
1915,71363,"39,854"
1921,143045,"7,903"
1922,91052,"3,041"
1923,76695,"25,239"
1929,76989,"3,272"
1930,63047,"30,261"
1938,82395,"12,981"
1940,90677,"11,926"
1944,105000,"5,234"
1945,95942,"20,370"
1949,87728,"7,748"
1950,76313,"17,249"
1951,91052,"3,622"
1952,62924,"7,819"
1960,67119,"47,991"
1966,73676,"7,762"
1969,74911,"5,504"
1970,57313,"40,268"
1982,97491,"8,299"
1983,115015,"6,132"
1984,132697,"4,451"
1985,111739,"4,160"
2019,77420,"15,248"
2021,88829,"20,755"
2025,114214,"7,255"
2026,85131,"23,478"
2030,164583,"5,561"
2032,77708,"3,576"
2035,94994,"16,163"
2038,92042,"29,553"
2043,99910,"19,867"
